Year,Meet,Elevation
2012,2012 Fort Hays State Open,
2012,2012 Frank Sevigne Husker Invitational,
2012,2012 Golden Ram Collegiate Invitational,
2012,2012 Great Dane Classic,
2012,2012 Greater Boston Track Club (GBTC) Invitational,
2012,2012 Hastings College XC Meet,
2012,"2012 Hillsdale College ""GINA"" Relays",
2013,2012 Jay Carisella Track & Field Invitational,
2012,2012 Jayhawk Classic,
2012,2012 Kansas Relays,
2012,2012 MIAA Championships,
2012,2012 Mesa Classic,
2012,2012 Mountain Dew Gator Cross Country Invitational (College/Open),
2012,2012 NCAA Division II Cross Country Championships,
2012,2012 Nebraska Tune-Up,
2012,2012 New Balance Collegiate Invitational,
2012,2012 Outdoor GLVC Track and Field Championships,
2012,2012 Pepsi Florida Relays (College/Open),
2012,2012 Pomona-Pitzer T&F Invite,
2012,2012 Pomona-Pitzer XC Invitational,
2012,2012 Prairie Wolf Invitational,
2012,2012 RMAC Indoor Championships,
2012,2012 RMAC Outdoor Championships,
2012,2012 RWC Raider Invitational,
2012,2012 Ralph Vernacchia Team Track & Field Meet,
2012,2012 Rock and Jock Indoor Open,
2012,2012 Rose-Hulman Pre-National,
2012,2012 SIAC Cross Country Championship,
2012,2012 Southeast Regional Championship,
2012,2012 Sparky Adams Invitational,
2012,2012 UCSD Triton Invitational (Colleges),
2012,2012 Willamette Invitational,
2012,2012 Willie Williams Classic (Colleges),
2013,2012 Yellow Jacket Holiday Classic,
2012,2012 Yellowjacket Open XC Meet,
2013,2013 ASU Invitational,
2013,2013 Al Hall Freedom Games,
2013,2013 American River Invitational,
2013,2013 Armory Collegiate Invitational,
2013,2013 BWU Mid-February Meet,
2013,2013 Bill Easton Classic,
2013,2013 Boston University Terrier Classic,
2013,2013 Bridgewater State University T&F Invitational,
2013,2013 Colonial Relays,
2013,2013 Concordia Classic,
2013,2013 Concordia Invitational,
2013,2013 Concordia Outdoor Invite,
2013,2013 Conference Carolinas Championships,
2013,2013 Dartmouth Cross Country Invitational,
2013,2013 Dartmouth Relays College/Open,
2013,2013 Drake Relays presented by Hy-Vee,
2013,2013 Ed Fry Invitational,
2013,2013 FHSU Tiger Open,
2013,2013 Frank Sevigne Husker Invitational,
2013,2013 Giegengack Invitational,
2013,2013 Greater Boston Track Club (GBTC) Invitational,
2013,2013 Gulf Coast Stampede,
2013,2013 Highlands University Cross Country Jam,
2013,2013 Hillsdale Invitational,
2013,2013 Holiday Inn Invitational,
2013,2013 Indiana Intercollegiate Cross Country Championships,
2014,2013 Jay Carisella Track & Field Invitational,
2013,2013 Jayhawk Classic,
2013,2013 Kansas Relays,
2013,2013 Ken Shannon Invitational,
2013,2013 Lewis Invitational,
2013,2013 Lewis Open,
2013,2013 Lumberjack Team Challenge,
2013,2013 Mesa Classic,
2013,2013 Mountain Dew Gator Cross Country Invitational (College),
2013,2013 Mountain T's Open and Invite,
2013,2013 Mountaineer Open,
2013,2013 Myrle Hanson Yellow Jacket Open,
2013,2013 NAU Tune Up,
2013,2013 NSIC Cross Country Championships,
2013,2013 Nebraska Tune-Up,
2013,2013 New Balance Boston Twilight Meet #1,
2013,2013 Northeast-10 XC Championship,
2013,2013 Northwest Open,
2013,2013 PacWest Conference Cross Country Championships,
2013,2013 Pitt State Alumni Race,
2013,2013 Pomona-Pitzer T&F Invite,
2013,2013 Potts Indoor Invitational,
2013,2013 RMAC Cross Country Championships,
2013,2013 RMAC T&F Indoor Championships,
2013,2013 Sparky Adams Invitational,
2013,2013 Spartan Invitational,
2013,2013 Stadium Sports Grill-Dave Little Alumni Mile,
2013,2013 Stanislaus Open Invitational,
2013,2013 Tribe Invitational,
2013,2013 UCO Land Run,
2013,2013 UVU Collegiate Invite,
2013,2013 UW Parkside Lucian Rosa Invitational - Men,
2013,2013 UW Parkside Midwest CC Open - Men,
2013,2013 UWG Wolves Cross Country Invitational,
2013,2013 WWU Ralph Vernacchia Team Track & Field Meet,
2013,2013 West Coast Invitational,
2013,2013 Willamette Invitational,
2013,2013 Yale Collegiate Invitational,
2013,2013 Yellow Jacket Spring Open,
2014,2013 Yellowjacket Holiday Open,
2013,2013 Yellowjacket XC Meet,
2014,2014 5th Annual Roadrunner Invitational,
2014,2014 ASU David Noble Relays,
2014,2014 Achilles Cup,
2014,2014 Aggie Open,
2014,2014 American River Invitational,
2014,2014 Arizona State Invitational,
2014,2014 Armory Collegiate Invitational,
2014,2014 Big Red Outdoor Invitational,
2014,2014 Big Wave Invitational,
2014,2014 Bill Easton Classic,
2014,2014 Billy Hayes Invitational,
2014,2014 CSU Stanislaus Kim Duyst Invitational,
2014,2014 CSU Stanislaus Open,
2014,2014 Cal-Nevada Track & Field Championships,
2013,2014 Carnegie Mellon Cross Country Invitational,
2014,2014 Chicagoland Championships,
2014,2014 Clyde Littlefield Texas Relays,
2014,2014 Coaches Tribute,
2014,2014 Colonial Relays,
2014,2014 Concordia Classic,
2014,2014 Concordia Indoor Invite,
2014,2014 Concordia Outdoor Invite,
2014,2014 Conference Carolinas Outdoor Track and Field Championsh,
2014,2014 Conn College XC Invite,
2014,2014 Dartmouth Indoor Classic,
2014,2014 Dartmouth Relays - College/Open,
2014,2014 Delaware Invitational,
2014,2014 Deneault Memorial Cornell,
2014,2014 Drake Relays presented by Hy-Vee,
2014,2014 ESU All American Meet,
2014,2014 Emilie Mondor,
2014,2014 Eye Opener,
2014,2014 Fordham Fiasco/Ed Joyce Memorial,
2014,2014 Fred Beile Classic,
2014,2014 GLIAC Indoor Championships,
2014,2014 Greater Boston Track Club Saucony Invitational (GBTC),
2014,2014 Gulden Invitational,
2015,2014 Hoosier Open,
2015,2014 Jay Carisella Track & Field Invitational,
2014,2014 Jayhawk Classic,
2014,2014 Kip Janvrin Open,
2014,2014 Lenoir-Rhyne PowerSox Invitational,
2014,2014 Liberty Collegiate Invitational,
2014,2014 Liberty Twilight,
2014,2014 Mountain Dew Gator Cross Country Invitational (College),
2014,2014 Mountaineer Open Indoor Track Meet,
2014,2014 Mountaineer/Cowboy Invitational,
2014,2014 Myrle Hanson Memorial Open,
2014,2014 NWU Spring Open,
2014,2014 New Balance Boston Twilight Meet #2,
2014,2014 OBU Indoor Inv,
2014,2014 Oxy Invitational (Colleges/Junior Colleges),
2014,2014 PBC Cross Country Championship,
2014,2014 Pacific Twilight,
2014,2014 Pitt State Alumni Race,
2014,2014 Pomona-Pitzer T&F All Comers,
2014,2014 Pomona-Pitzer T&F Invite (College/Univ),
2014,2014 RMAC Outdoor Track and Field Championships,
2014,2014 Rock and Jock Open,
2014,2014 Sam Williams Twilight Qualifier,
2014,2014 Sorlien Invitational,
2014,2014 Spartan Invitational,
2014,2014 Stadium Sports Grill/Dave Little Alumni Mile,
2014,2014 UBC Open,
2014,2014 UCO Indoor Inv,
2014,2014 UCO Land Run,
2014,2014 UVU Collegiate Invitational,
2014,2014 UW Parkside Lucian Rosa Invitational - Men,
2014,2014 UW Parkside Midwest CC Open - Men,
2014,2014 University of Tampa Cross Country Classic,
