Year,Meet,Elevation
2019,Boston University Bruce Lehane Scarlet and White Invitationa,
2014,Boston University David Hemery Valentine,
2017,Boston University David Hemery Valentine Inv.,
2019,Boston University David Hemery Valentine Invitational,
2018,Boston University David Hemery Valentine Invitational,
2014,Boston University John Thomas Terrier,
2020,Boston University John Thomas Terrier Classic,
2018,Boston University John Thomas Terrier Classic,
2019,Boston University John Thomas Terrier Classic,
2015,Boston University John Thomas Terrier Invitational,
2014,Boston University Last Chance Meet,
2016,Boston University Last Chance Meet,
2015,Boston University Last Chance Meet 2015,
2018,Boston University Last Chance Qualifier,
2019,Boston University Last Chance Qualifier,
2020,Boston University Last Chance Qualifier,
2015,Boston University Opener,
2016,Boston University Opener,
2017,Boston University Scarlet and White,
2015,Boston University Scarlet and White,
2018,Boston University Season Opener,
2014,Boston University Season Opener,
2020,Boston University Sharon Colyear-Danville Season Opener,
2011,Boston-Moon Collegiate Classic,
2017,Bowdoin College Invitational,
2018,Bowdoin College Invitational,
2017,Bowdoin College Invitational II,
2015,Bowdoin Invitational #2,
2019,Bowdoin Invite II,
2018,Bradley Pink Classic,
2012,Brandeis Reggie Poyau Invitational,
2013,Brandeis Reggie Poyau Invitational,
2017,Brandi Bowen Invitational,
2019,Brandi Bowen Invitational,
2019,Branwen Smith-King Invitational and Multi,
2020,Braves Classic,
2018,Braves Track Classic,
2017,Braves Track Classic,
2016,Braves Track Classic,
2015,Brevard Tornado Relays,
2016,Briar Cliff Invitational,
2012,Briar Cliff Invitational,
2013,Briar Cliff Invite,
2014,Briar Cliff Invite,
2015,Briar Cliff XC Invite,
2014,Bridgewater State Bears Invitational,
2011,Bridgewater State Bears Invite,
2017,Bridgewater State University,
2016,Bridgewater State University Invitational,
2014,Brissman-Lundeen Cross Country Invitational,
2014,Brockport Early Season Invite,
2016,Brockport Early Season Invite,
2016,Brockport Golden Eagle Multi & Invitational,
2014,Brockport Golden Eagle Multi & Invitational  Jan 31 -,
2015,Brockport Golden Eagle Multi and Invitational,
2019,Brockport Green Vs. Gold Alumni Multi and Invitational  Nov 30 -,
2017,Brockport Green vs. Gold Alumni Multi,
2018,Brockport Green vs. Gold Alumni Multi and Invitational,
2013,Brockport Invitational,
2015,Brockport Mid-Season Classic,
2016,Brockport Mid-Season Classic,
2019,Brockport Multi and Invitational,
2018,Brockport Multi and Invitational,
2014,Bronco Invitational (Invite Section),
2013,Bronco Invite,
2010,Brooks Classic,
2015,Brown Invitational,
2014,Brown Invitational,
2012,Brown Invitational,
2013,Brown Invitational 2013,
2010,Brown Springtime Invitational,
2013,Brown Springtime Open,
2012,Brown Springtime Open,
2015,Brown University Alden Invitational,
2016,Bruin Legends of T&F Distance Carnival,
2016,Brutus Hamilton Challenge,
2015,Brutus Hamilton Challenge,
2011,Brutus Hamilton Open,
2015,Brutus Hamilton Open,
2016,Brutus Hamilton Open,
2014,Bryan Clay Invitational,
2011,Bryan Clay Invitational,
2018,Bryan Clay Invitational,
2019,Bryan Clay Invitational,
2016,Bryan Clay Invitational,
2015,Bryan Clay Invitational,
2017,Bryan Clay Invite,
2013,Bryan College-Swiftwick Classic,
2010,Bryant Invitational,
2011,Bryant University T&F Invitational,
2015,Bucaneer Invitational 2015 / ETSU,
2016,Buccaneer Invitational,
2017,Buccaneer Track & Field Invitational,
2018,Buccaneer Track & Field Invitational 2018,
2019,Buccaneer Track & Field Invitational 2019,
2020,Buccaneer Track & Field Invitational 2020  Jan 31 -,
2010,Bucknell 6-Way,
2010,Bucknell Bison Outdoor Classic,
2011,Bucknell Heptagonal,
2010,Bucknell Team Challenge,
2011,Bucknell Team Challenge,
2016,Bucknell Team Challenge,
2009,Bucknell Team Challenge,
2015,Bucknell Team Challenge,
2017,Bucknell Team Challenge,
2018,Bucknell Team Challenge,
2012,Bucknell Team Challenge 2012,
2015,Bucknell Tune Up,
2014,Bucknell Tune-Up,
2019,Bucknell Tune-Up,
2017,Bucknell Tune-Up,
2018,Bucknell Tune-Up,
2016,Bucknell Tune-Up,
2011,Bucknell Winter Classic,
2012,Bucknell Winter Classic 2012,
2018,Bucknelll Tune Up,
2015,Buffalo Stampede,
2016,Buffalo Stampede,
2017,Buffalo Stampede,
2013,Buffalo Stampede,
2019,Buffalo Stampede,
2018,Buffalo Stampede,
2017,Buffalo Track & Field Invite,
2014,Buffalo Valley Stampede,
2013,Buffalo Valley Stampede,
2019,Bulldog Open 2019,
2011,Bulldog Twilight Invitational,
2015,Bulls Invitational,
2013,Bulls Invitational,
2017,Butler Open,
2018,Butler Open,
2017,Butler-Greeno Dual,
2016,CACC Championships,
2019,CACC Outdoor Track and Field Championship,
2017,CACC XC Championship,
2016,CAL STATE LA TWILIGHT OPEN,
2016,CBU Invitational,
2015,CBU Invitational,
2013,CBU Lancer Invitational,
2014,CCAA Championships,
2013,CCAA Championships,
2012,CCAA Championships,
2015,CCAA Championships  Apr 29 -,
2019,CCAA Cross Country Championships,
2018,CCAA Cross Country Championships,
2016,CCAA Cross Country Championships,
2016,CCAA Outdoor Track & Field Championships,
2011,CCAA Track & Field Championships,
2017,CCAA Track & Field Championships,
2010,CCAA Track & Field Championships,
2019,CCAA Track & Field Championships,
2012,CCAA Track & Field Championships,
2013,CCAA Track & Field Championships,
2014,CCAA Track & Field Championships,
2015,CCAA XC Championships,
2014,CCSU Mini Meet,
2015,CCSU Ted Owen Invitational,
2014,CCSU Ted Owen Invitational,
2011,CCU Chanticleer Classic,
2010,CCU Shamrock 2010,
2018,CGA Spring Invite,
2013,CMU Chippewa Open,
2017,CMU Eagle Invitational,
2019,CMU Gary Stoner Invite,
2009,CMU Jack Skoog Open,
2011,CMU Open,
2010,CMU Skoog Open,
2017,CNU Holiday Open,
2018,CNU Holiday Open,
2019,CNU Holiday Open,
2018,CNW Emerald City Open Cross Country,
2014,CNW Spring Break Open,
2013,CPP Pomona Preview,
2016,CPP Preview Meet,
2014,CS Fullerton Titan,
2013,CS San Bernardino Invitational,
2017,CS San Marcos Cougar Challenge,
2018,CSB-SJU Indoor Invitational,
2017,CSB-SJU Outdoor Invitational,
2017,CSB-SJU Outdoor Invitational & Multis,
2015,CSC Don Holst Twilight,
2020,CSC Open,
2019,CSC Open,
2020,CSI Classic,
2016,CSM Alumni Classic & Multi,5675
2011,CSM Alumni Extravaganza,5675
2010,CSM Alumni Extravaganza,5675
2015,CSM Division II Invite,5675
2016,CSM Division II Invite & Multi,5675
2016,CSM Friday Last Chance,5675
2016,CSM Joe Davies,5675
2015,CSM Joe Davies Open,5675
2015,CSM Kit Mayer Memorial Open,5675
2011,CSM Last Chance Meet,5675
2012,CSM Last Chance Meet,5675
2014,CSM Last Chance Qualifier,5675
2015,CSM Last Chance Qualifier,5675
2016,CSM Nature's Bakery Invite,5675
2015,CSM Pre-Conference Invite,5675
2011,CSM Quad Meet,5675
2016,CSM Sunday Last Chance,5675
2010,CSM Twilight,5675
2016,CSM Twilight,5675
2012,CSM Twilight Collegiate Open,5675
2013,CSM Twilight Collegiate Open,5675
2011,CSM Twilight Open,5675
2015,CSM Twilight Open,5675
2014,CSM Twilight Open  Jan 31 -,5675
2017,CSU Duals - D2 Combined,5000
2017,CSU Invitational,0
2016,CSU Invite - D2 Combined,5000
2015,CSU Invite - Duals,5000
2015,CSU Invite - Western vs. Mines,5000
2011,CSU Pueblo Combined Events and Invitational,4848
2010,CSU Pueblo Combined Events/Invite,4848
2019,CSU Pueblo Early Bird,4848
2010,CSU Pueblo Open,4848
2018,CSU Pueblo Spank Blasing Invite,4848
2014,CSU San Bernardino,0
2019,CSU Spring Break Invitational,0
2011,CSU Stanislaus Alumni All-Comers Meet,0
2012,CSU Stanislaus Alumni All-Comers Meet,0
2012,CSU Stanislaus Kim Duyst Invitational,0
2010,CSU Stanislaus Kim Duyst Invite,0
2011,CSU Stanislaus Twilight,0
2012,CSU Stanislaus Twilight Qualifier,0
2013,CSU Stanislaus Twilight Qualifier,0
2010,CSU Stanislaus Twilight Qualifier,0
2012,CSU-Pueblo Combined Events & Invitational,4848
2018,CSU-Pueblo Early Bird,4848
2014,CSU-Pueblo Open,4848
2011,CSU-Pueblo Open,4848
2015,CSU-Pueblo Open,4848
2012,CSU-Pueblo Open,4848
2016,CSU-Pueblo Pack Classic,4848
2015,CSU-Pueblo Pack Classic,4848
2015,CSULA 2015 Twilight Open,
2012,CSULA Twilight Open,
2016,CSUSB Invitational,
2016,CU Invitational,
2010,CU Invitational,
2012,CU Invitational 2012,
2018,CU Invitational 2018,
2013,CWU Cross Country Invitational,
2012,CWU Invitational,
2017,CWU Spike Arlt Inv,
2012,CWU Spike Arlt Invitational,
2010,CWU Spike Arlt Invitational,
2011,CWU Spike Arlt Invitational,
2013,CWU Spike Arlt Invitational,
2019,CWU XC Apple Ridge Inv.,
2016,CWU XC Inv,
2015,CWU XC Inv. @ Apple Ridge Run,
2014,CWU XC Invitational,
2018,CWU XC Invitational,
2017,CWU-SMU-WWU Tri,
2016,CXC West Region Preview,
2018,Cal Poly Invitational,
2015,Cal Poly Pomona Preview Meet,
2015,Cal Poly/Shareslo.com Invitational,
2017,Cal State L.A. Twilight Open,285
2017,Cal State LA Invitational,285
2013,Cal State LA Invitational,285
2018,Cal State LA Invitational,285
2014,Cal State LA Invitational,285
2016,Cal State LA Invitational,285
2015,Cal State LA Invitational,285
2011,Cal State LA Last Chance Qualifier,285
2010,Cal State LA Last Chance Qualifier,285
2013,Cal U Early Bird,285
2017,Cal U Early Bird,285
2014,Cal U Early Bird,285
2019,Cal U Early Bird,285
2018,Cal U Early Bird 2018,285
2012,Cal U. Early Bird,285
2013,Cal-Nevada Championships,1000
2010,Cal/Nevada Collegiate Championship,1000
2012,California / Oregon Border Battle,0
2015,California Collegiate Invitational,0
2017,California Collegiate Invitational,0
2016,California Collegiate Invitational,0
2018,California Collegiate Open,0
2012,Calvin College Knight Invite,
2018,Calvin Knight Invite,
2019,Calvin Knight Invite,
2017,Calvin Knight Invite,
2018,Calvin Tune-up 2018,
2016,Camel City Invitational,
2019,Camel City Invitational,
2020,Camel City Invitational,
2018,Camel City Invitational,
2017,Camel City Invitational,
2016,Campbell University Invitational,
2012,Campbell Wright Open,
2017,Canisius Alumni Classic,
2018,Capital Cross Challenge,
2019,Capital Cross Challenge,
2015,Captains Invitational & Combined Events,
2017,Captains Invitational & Combined Events,
2016,Captains Invitational & Combined Events - Collegiate Team En,
2017,Cardinal Classic,
2011,Cardinal Classic,
2010,Cardinal Classic,
2018,Cardinal Classic 2018,
2012,Carleton Alumni Open,
2019,Carleton Relays,
2013,Carleton Relays,
2014,Carnegie Mellon Cross Country Invitational,
2015,Carnegie Mellon Cross Country Invitational,
2012,Carnegie Mellon Cross Country Invitational,
2019,Carnegie Mellon Invitational,
2017,Carnegie Mellon Invitational,
2019,Carolina Challenge,
2016,Carolina Challenge,
2019,Carolina Challenge  Jan 31 -,
2020,Carolina Challenge  Jan 31 -,
2013,Carthage Tadd Metzger Invitational,
2015,Catamount Classic,
2018,Catamount Classic,
2017,Catawba Chick-fil-A XC Meet,
2019,Catawba Fleet Feet XC Invite,
2014,Catawba Invitational,
2013,Caty's Run,
2012,Caty's Run,
2017,Cazenovia Homecoming Invitational,
2016,Cazenovia Homecoming Invitational,
2015,Cazenovia Homecoming Invitational,
2014,Cazenovia Homecoming Invitational,
2013,Cedarville Collegiate All-Comers,
2015,Cedarville Collegiate Indoor Invite,
2010,Cedarville Collegiate Invitational,
2012,Cedarville Collegiate Invitational,
2013,Cedarville Collegiate Invitational,
2011,Cedarville Collegiate Invitational,
2014,Cedarville Collegiate Invitational,
2012,Cedarville Collegiate Yellow Jacket Open,
2011,Cedarville Collegiate Yellow Jacket Open,
2010,Cedarville Collegiate Yellow Jacket Open,
2019,Cedarville Friendship Invitational,
2014,Cedarville Open,
2020,Cedarville Open 2020,
2019,Cedarville University Yellow Jacket Collegiate Outdoor Open,
2013,Cedarville Yellow Jacket Open,
2015,Central Arkansas Open,
2018,Central Atlantic Collegiate Conference Championships,
2013,Central Atlantic Collegiate Conference Champs 2013,
2012,Central Atlantic Collegiate Conference XC Championship,
2017,Central College (IA) Dutch Holiday Preview,
2018,Central College Dutch Invitational,
2016,Central Connecticut State University Invite,
2018,Central Methodist Early Bird,
2019,Central Methodist Invite,
2018,Central Methodist Invite,
2019,Central Methodist Open,
2017,Central Methodist Open,
2013,Central Methodist University,
2018,Central Missouri Invite,
2011,Central Missouri Mens Mule Relays,
2018,Central Missouri Mule Relays,
2017,Central Oklahoma Land Run,
2018,Centre College Track & Field Twilight,
2016,Centre College Track & Field Twilight,
2015,Centre Twilight,
2014,Chabot/CSU Eastbay Legacy Invitational,
2020,Chadron State Cross Country Invitational,
2017,Chadron State Invite,
2016,Chadron State Open,
2017,Chadron State Open at RMAC,
2014,Chadron State Twilight,
2013,Chaminade Invitational,
2012,Chanticleer Classic,
2013,Chanticleer Classic 2013,
2014,Chanticleer Classic 2014,
2018,Charleston Relays and Alumni Invitational,
2017,Charleston Southern University Spring Break Invitational,
2010,Charlie Foster Classic,
2018,Charlie Foster Pre-Holiday Classic,
2019,Charlie Foster Pre-Holiday Classic,
2011,Charlotte 49er Classic,760
2015,Charlotte 49er Classic,760
2016,Charlotte 49er Classic,760
2019,Charlotte 49er Classic,760
2013,Charlotte 49er Classic,760
2012,Charlotte 49er Classic,760
2017,Charlotte 49er Classic,760
2014,Charlotte 49er Classic,760
2014,Charlotte Invitational,760
2012,Charlotte Invitational,760
2018,Charlotte Opener,760
2013,Charlotte XC Invitational-College Division,760
2018,Chester Quarry Classic,
2017,Chester Quarry Classic,
2016,Chester Quarry Classic,
2019,Chester Quarry Classic,
2017,ChicagoLand Championships,
2013,Chicagoland Championships,
2016,Chicagoland Indoor Track & Field Championships,
2014,Chicagoland Indoor Track & Field Championships,
2015,Chicagoland Intercollegiate Indoor Championships,
2015,Chicagoland Outdoor Championships,
2016,Chicagoland Outdoor Championships,
2018,Chick-fil-A XC Invitational,
2011,Chico Distance Carnival,240
2016,Chico State Distance Carnival & Twilight,240
2014,Chico State Distance Carnival & Twilight,240
2017,Chico State Distance Carnival & Twilight,240
2019,Chico State Distance Carnival & Twilight,240
2018,Chico State Distance Carnival & Twilight,240
2015,Chico State Distance Carnival / Twilight,240
2014,Chico State Wildcat Invitational,240
2019,Chico State Wildcat Invite,240
2015,Chico State Wildcat Invite,240
2017,Chico State Wildcat Invite,240
2018,Chico State Wildcat Invite,240
2016,Chico State Wildcat Invite,240
2012,Chico Twilight & Distance Carnival,240
2010,Chico Twilight Distance Carnival,240
2011,Chico Twilight Meet,240
2013,Chico Twilight and Distance Carnival,240
2011,Chico Wildcat Relays,240
2010,Chico Wildcat Relays,240
2014,Chile Pepper Cross Country Fesitval,
2012,Chile Pepper Cross Country Festival,
2016,Chile Pepper Cross Country Festival,
2013,Chile Pepper Festival,
2015,Chile Pepper Festival,
2019,Chile Pepper XC Fesitval,
2018,Chile Pepper XC Festival,
2017,Chile Pepper XC Festival,
2014,Choctaw DII Challenge,
2019,Chris Rinne Highlander Twilight,
2017,Class of 1932 Track Meet,
2019,Clemson Invitational,
2016,Clemson Orange & Purple Classic,
2017,Clemson Tiger Paw Indoor,
2019,Cloud County Thunderbird Classic,
2011,Club Northwest Spring Break Open,
2010,Club Northwest Spring Break Open,
2012,Club Northwest Spring Break Open,
2013,Club Northwest Spring Break Open,
2012,"Coach ""O"" Invitational",
2019,Coach I Open @ Franklin & Marshall,
2018,Coach I Open @ Franklin & Marshall,
2015,Coach O Coastal Carolina Invitiational,
2016,Coach O Coastal Carolina University Invitational,
2015,Coach P Open,
2018,Coach Pollard Invitational,
2019,Coach Pollard Invite,
2015,Coaches vs Domestic Violence Tribute,
2019,Coast-to-Coast Battle in Beantown,
2018,Coast-to-Coast Battle in Beantown,
2019,Coastal Carolina Invitational,
2020,Coastal Carolina Invitational,
2018,Coastal Carolina Invitational,
2014,Coastal Carolina Invitational,
2016,Coastal Carolina Invitational 2016,
2009,Coastal Carolina Shamrock Invitational,
2011,Coastal Carolina University Invitational,
2013,Coastal Carolina University Invitational,
2012,Coastal Carolina University Invitational,
2015,Coastal Carolina University Invitational,
2017,Cobber Double Duals,
2012,Cobber Duals,
2015,Cobber Duals,
2013,Cobber Duals,
2014,Cobber Duals,
2016,Cobber Duals,
2018,Cobber Open,
2012,Cobber Open,
2013,Cobber Open,
2019,Cobber Open,
2016,Cobber Twilight,
2014,Codfish Bowl,
2016,Codfish Bowl,
2018,Cody McBride Invitational,
2019,Cody McBride/Distance in the Dark Invitational,
2015,Colby CC Trojan Invite,
2019,Colgate University Class of 1932 Invitational,
2018,Colgate University Class of 1932 Invitational,
2014,College of Charleston Cross Country Invitational,
2015,College of Charleston Invitational,
2019,College of Southern Idaho XC Classic,
2018,College of Southern Idaho XC Classic,
2013,Collegeville Indoor Classic,
2014,Colorado College Cross Country Invitational,6060
2018,Colorado College Invitational,6060
2013,Colorado College Invitational,6060
2014,Colorado College Invitational,6060
2017,Colorado College Invitational,6060
2015,Colorado College Invitational,6060
2016,Colorado College Invitational,6060
2019,Colorado College Invitational,6060
2014,Colorado Front Range Open,
2014,Colorado Invitational,
2015,Colorado Invitational,
2017,Colorado Invitational,
2013,Colorado Invitational 2013,
2018,Colorado Invitational 2018,
2019,Colorado Invitational 2019,
2019,Colorado Invitational 2019  Jan 31 -,
2020,Colorado Mesa Maverick Invitational,
2016,Colorado Mesa Open,
2017,Colorado Open,
2012,Colorado Potts Indoor Invitational,
2019,Colorado Running Company Mountain Lion Open,
2019,Colorado Running Company UCCS Invite,
2014,Colorado State University (CSU) Invitational,
2013,Colorado State University Open 5K,
2017,Commodore Classic,
2014,Commodore Classic,
2019,Concord Alumni Invitational,
2017,Concord Invitational,
2018,Concord Invitational,
2016,Concord University Alumni Invitational,
2019,Concordia Cross Country Classic,
2011,Concordia Len Blutreich Indoor Qualifer,
2011,Concordia Twilight,
2018,Concordia University Invitational,
2015,Conference Carolina Championship,
2019,Conference Carolina Championship,
2016,Conference Carolina Championship,
2013,Conference Carolina's Championship,
2014,Conference Carolina's Cross Country Championships,
2010,Conference Carolinas,
2011,Conference Carolinas,
2018,Conference Carolinas Championship,
2018,Conference Carolinas Championships,
2014,Conference Carolinas Indoor Championship,
2020,Conference Carolinas Indoor T&F Championships,
2018,Conference Carolinas Indoor T&F Championships,
2013,Conference Carolinas Indoor Track & Field Championships,
2019,Conference Carolinas Indoor Track & Field Championships,
2015,Conference Carolinas Indoor Track & Field Championships,
2016,Conference Carolinas Indoor Track and Field Championships,
2017,Conference Carolinas Indoor Track and Field Championships,
2017,Conference Carolinas Outdoor Championships,
2017,Conference Carolinas championship,
2019,Conference Crossover (G-MAC vs. GLIAC vs. GLVC),
2020,Conference Crossover (Hosted by Hillsdale College),
2018,Conference Crossover-Hosted by Hillsdale College,
2016,Conglomerate Open,
2012,Conn College Cross Country Invitational,
2013,Conn College Cross Country Invitational,
2016,Continental Indoor Track & Field Invitational,
2017,Continental Invitational,
2019,Converse Kick-Off,
2020,Corky Classic,
2013,Cornell Big Red Outdoor Invitational 2013,
2010,Cornell Deneault Invitational,
2013,Cornell Deneault Invitational 2013,
2012,Cornell Deneault Memorial,
2015,Cornell Deneault Memorial 2015,
2012,Cornell Kane Invitational,
2013,Cornell Kane Invitational 2013,
2015,Cornell Southern Tier Collegiate Open 2015,
2017,Cornell Southern Tier Collegiate Open 2017,
2018,Cornell Southern Tier Collegiate Open 2018,
2014,Corsair Classic Track & Field Invitational,
2015,Corsair Classic Track & Field Invitational,
2019,Corsair Classic Track & Field Invitational,
2017,Cortland Classic Invitational,
2018,Cortland Classic Invitational,
2019,Cortland Friday Night Under The Lights Invite,
2019,Cottey College XC Invite,
2018,Cougar Challenge,
2016,Cougar Challenge,
2016,Cougar Classic,
2015,Cougar Classic,
2015,Cougar Invitational,
2017,Cougar Invitational,
2016,Cougar Invitational,
2014,Cougar Invitational,
2019,Cougar Invitational,
2020,Cougar Invitational 2020,
2016,Cougar Invite,
2014,Cougar Invite,
2012,Cougar Open,
2015,Cougar Open,
2015,Courtyard by Marriott Open,
2016,Covered Bridge CC Meet,
2017,Covered Bridge CC Meet,
2018,Covered Bridge CC Open Meet,
2015,Covered Bridge Open CC Meet,
2012,Cowboy Jamboree,
2014,Cowboy Jamboree,
2015,Cowboy Jamboree,
2020,Cowboy Jamboree,
2013,Cowboy Jamboree,
2017,Cowboy Preview - Arkansas vs Tulsa(Men),
2017,Cowboy Preview - Oklahoma State vs Arkansas (Men),
2017,Cowboy Preview - Oklahoma vs Arkansas (Men),
2018,Coyote Challenge,
2017,Coyote Challenge,
2015,Coyote Challenge,
2016,Crimson & Gold Invitational,
2017,Crimson & Gold Invitational,
2018,Crimson & Gold Invitational,
2019,Crimson & Gold Invitational,
2020,Crimson & Gold Invitational,
2017,Crimson Classic,
2011,Crimson and Gold,
2015,Crimson and Gold Invite,
2010,Crimson and Gold Invite,
2016,Crown College Invite,
2014,Crusader Classic,
2015,Crusader Classic,
2016,Crusader Classic (Last One),
2015,Crusader Open,
2018,Crusader Open,
2016,Crusader Open,
2012,Crystal Springs Invitational (College),
2012,Cuadrangular Sistema UPR,
2017,Cuero Collegiate Relays,
2015,DII Georgia Collegiate XC Championship,
2010,DII South Region Track Championships,
2011,DII South Region Track Championships,
2019,DII/DIII Challenge,
2018,DIVISION II/III CHALLENGE,
2016,DOUG WATTS DISTANCE GALA,
2017,DSU Alumni XC Run,
2012,DSU Blue Hawk Games,
2012,DSU Blue Hawk Open,
2016,DSU Farm Run Invite,
2011,Dakota Athletic Conference Indoor Championships,
2011,Dakota Athletic Conference Outdoor Championships,
2018,Dakota Classic,
2015,Dakota Duals,
2016,Dakota Realty Alumni Meet,
2015,Dakota Realty Alumni T&F Meet,
2017,Dallas Baptist University Patriot XC Opener,
2020,Dallas Baptist XC Opener,
2018,Dan Conway Classic,
2012,Dan Huston Invitational,
2019,Danny Curran Invitational,
2017,Darius Dixon Memorial Invitational,
2016,Darius Dixon Memorial Invitational,
2018,Darius Dixon Memorial Invitational 2018,
2016,Darrel Gourley Open,
2012,Darton Invitational,
2019,Dave Labor Invitational,
2015,Dave Labor Invt,
2014,Dave Labor Invt,
2017,Dave Labor Invt,
2016,Dave Labor Invt,
2012,Dave Labor Invt,
2017,Dave Murray Invitational,
2019,Davenport Tune Up,
2016,David Hemery Valentine Invitational,
2012,David Noble/Angelo State Relays,
2018,DePauw Indoor Classic,
2014,DePauw Indoor Classic,
2019,DePauw Indoor Classic,
2017,DePauw Indoor Classic,
2016,DePauw Indoor Classic,
2019,DePauw Indoor Classic 2019,
2013,DePauw Indoor Invitational,
2018,DePauw Tiger Small College Indoor Invitational,
2013,DeSales University Invitational,
2019,DeSales University Invitational,
2017,DeSales University Invitational,
2015,DeSchriver College Invite 2015,
2017,Delaware Invitational,
2019,Delaware Open,
2011,Deneault Invitational,
2017,Deneault Memorial 2017,
2013,Denison Last Chance,
2016,Dennis Craddock Carolina Relays,
2014,Dennis Craddock Invitational,
2013,Dennis Young Invite,
2019,Dewey Allgood Invitational,
2011,Dick Pond Invitational,
2011,Dick Pond Open,
2011,Dick Taylor Tarheel Relays,
2013,Dickinson College Long/Short Invitational,
2014,Dickinson College Twilight,
2018,Dickinson Long-Short Invitational,
2018,Dickinson State Blue Hawk Games,
2013,Dickinson State Blue Hawk Games,
2015,Dickinson State University Blue Hawk Games,
2016,Dickinson State University Blue Hawk Games,
2017,Dickinson State University Blue Hawk Games 2017,
2018,Disney Cross Country Classic,
2017,Disney Cross Country Classic,
2014,Disney Cross Country Classic presented by New Balance (College/Open),
2013,Disney Cross Country Classic presented by New Balance (College/Open),
2015,Disney Cross Country Classic presented by New Balance (College/Open),
2014,Division I Section: UIndy Relays,
2013,Division II & III Challenge,
2012,Division II Challenge,
2016,Division II South Central Region Challenge,
2016,Division II/III Challenge,
2017,Division II/III Challenge,
2015,Division II/III Challenge,
2014,Division II/III XC Challenge,
2014,Doane Relays,
2013,Doane Relays 2013,
2012,Doc Adams Invitational,
2013,Doc Adams Open,
2015,Doc Adams Open,
2018,Dog _ Cat Fight,
2019,Dolan Duals,
2015,Dolan Duals,
2012,Dolan Duals,
2013,Dolan Duals,
2014,Dolan Duals,
2018,Dolan Duals,
2017,Dolan Duals,
2016,Dolan Duals,
2014,Don Cathcart Invitational,
2012,Don Cathcart Invitational,
2013,Don Church Wheaton Twilight 2013,
2016,Don DeNoon Invitational,
2019,Don DeNoon Invitational,
2017,Don DeNoon Invite,
2011,Don Frail Invitational,
2018,Don Frail Invitational,
2020,Don Kirby Elite Invitational,
2016,Don Kirby Open & Elite,
2013,Don Kirby Tailwind Invitational,
2016,Don Kirby Tailwind Open,
2018,Don Kirby Tailwind Open,
2019,Don McGarey Invitational Track and Field Invitational,
2018,Dordt College Indoor Invitational 2018,
2019,Dordt College Outdoor Invitational 2019,
2013,Dordt Feb 2013 Indoor Invitational,
2013,Dordt Indoor Invitational 2013,
2017,Dordt Indoor Invite Jan 2017,
2014,Dordt Indoor Open,
2015,Dordt Indoor Open,
2011,Dordt Invitational,
2012,Dordt Outdoor Invitational 2012,
2017,Doris Heritage Distance Festival,
2016,Doris Heritage Distance Festival,
2015,Doug Watts Distance Gala,
2014,Doug Watts Distance Gala,
2017,Doug Watts Dual,
2018,Doug Watts Invitational,
2019,Doug Watts Invitational,
2011,Dr. Jack M. Toms Invitational,
2012,Dr. Jack M. Toms Open,
2017,Dr. Jack Toms Alumni Invitational,
2016,Dr. Jack Toms Invitational,
2011,Dr. Keeler Invitational,
2010,Dr. Keeler Track & Field Invitational,
2018,Dr. Martin Luther King Jr. Collegiate Invitational,
2019,Dr. Sander Columbia Challenge,
2018,Dragon Grand Prix,
2013,Drake Alternative,
2017,Drake Alternative,
2012,Drake Alternative,
2011,Drake Alternative,
2010,Drake Alternative,
2015,Drake Alternative,
2010,Drake Relays,
2018,Drake Relays presented by Hy-Vee,
2019,Drake Relays presented by Hy-Vee,
2018,Drenth Invitatonal - Central Michigan University,
2014,Dual at the Rose Bowl,
2019,Due West Opener,
2012,Duke Invitational,
2018,Duke Invitational,
2010,Duke Invitational,
2017,Duke Invitational,
2019,Duke Invitational,
2016,Duke Invitational,
2013,Duke Invitational,
2011,Duke Invitational,
2013,Duke Twilight,
2015,Duke Twilight,
2012,Duke Twilight,
2011,Duke Twilight,
2010,Duke Twilight,
2018,Dunamis Super Meet,
2017,Duquesne Duals Non D1 Schools,
2020,Dutch Athletic Classic 2020,
2018,Dutch Athletics Classic,
2019,Dutch Athletics Classic,
2015,Dutchmen XC Invitational College,
2014,ECAC Division II XC Championships,
2016,ECC Indoor Track & Field Championships,
2020,ECC Indoor Track & Field Championships,
2014,ECC Indoor Track and Field Championship,
2019,ECC Indoor Track and Field Championship,
2015,ECC Indoor Track and Field Championship,
2018,ECC Indoor Track and Field Championships,
2013,ECC Outdoor Track & Field Championships,
2014,ECC Outdoor Track and Field Championship,
2015,ECC Outdoor Track and Field Championship,
2019,ECU Pirate XC Invitational,
2018,ECU Pirates XC Invitational,
2014,EIU Big Blue Classic & Neil Moore Multi's,
2016,EIU Big Blue Classic 2016  Mar 31 -,
2017,EIU Big Blue Classic 2017  Mar 31 -,
2012,EIU Friday Night Special,
2014,EIU Last Chance Twilight,
2019,EIU Walt Crawford Open,
2018,EIU's Walt Crawford Open,
2014,EMU Fall Classic,
2011,EMU Twilight,
2018,EOU Open,
2019,EOU Open,
2019,EOU Team Challenge,
2018,EOU Team Challenge,
2016,ERAU - WV Wesleyan Dual,
2018,ERAU Indoor - Outdoor Challenge,
2011,ERAU Indoor Outdoor Challenge,
2011,ERAU Last Chance,
2010,ERAU Last Chance,
2012,ERAU Last Chance Indoor Meet,
